Population at the beginning of the period across the territory of the Republic of Belarus
persons
        Beshenkovichy district;20 to 24 years of age;498
        Beshenkovichy district;25 to 29 years of age;440
        Beshenkovichy district;30 to 34 years of age;581
        Beshenkovichy district;35 to 39 years of age;786
        Beshenkovichy district;40 to 44 years of age;808
        Beshenkovichy district;45 to 49 years of age;820
        Beshenkovichy district;50 to 54 years of age;940
        Beshenkovichy district;55 to 59 years of age;1105
        Beshenkovichy district;60 to 64 years of age;1386
        Beshenkovichy district;65 to 69 years of age;1282
        Beshenkovichy district;70 to 74 years of age;879
        Beshenkovichy district;75 to 79 years of age;543
        Beshenkovichy district;80 and over;600
        Braslav district;0 to 4 years of age;895
        Braslav district;By all age;22764
        Braslav district;5 to 9 years of age;1189
        Braslav district;10 to 14 years of age;1237
        Braslav district;15 to 19 years of age;860
        Braslav district;20 to 24 years of age;1145
        Braslav district;25 to 29 years of age;1105
        Braslav district;30 to 34 years of age;1243
        Braslav district;35 to 39 years of age;1407
        Braslav district;40 to 44 years of age;1406
        Braslav district;45 to 49 years of age;1623
        Braslav district;50 to 54 years of age;1867
        Braslav district;55 to 59 years of age;1968
        Braslav district;60 to 64 years of age;1926
        Braslav district;65 to 69 years of age;1614
        Braslav district;70 to 74 years of age;1185
        Braslav district;75 to 79 years of age;855
        Braslav district;80 and over;1239
        Verkhnedvinsk district;0 to 4 years of age;736
        Verkhnedvinsk district;By all age;18305
        Verkhnedvinsk district;5 to 9 years of age;920
        Verkhnedvinsk district;10 to 14 years of age;976
        Verkhnedvinsk district;15 to 19 years of age;573
        Verkhnedvinsk district;20 to 24 years of age;844
        Verkhnedvinsk district;25 to 29 years of age;813
        Verkhnedvinsk district;30 to 34 years of age;931
        Verkhnedvinsk district;35 to 39 years of age;1232
        Verkhnedvinsk district;40 to 44 years of age;1198
        Verkhnedvinsk district;45 to 49 years of age;1217
        Verkhnedvinsk district;50 to 54 years of age;1419
        Verkhnedvinsk district;55 to 59 years of age;1555
        Verkhnedvinsk district;60 to 64 years of age;1643
        Verkhnedvinsk district;65 to 69 years of age;1645
        Verkhnedvinsk district;70 to 74 years of age;1162
        Verkhnedvinsk district;75 to 79 years of age;691
        Verkhnedvinsk district;80 and over;750
        Vitebsk district;0 to 4 years of age;1221
        Vitebsk district;By all age;33695
        Vitebsk district;5 to 9 years of age;1703
        Vitebsk district;10 to 14 years of age;1912
        Vitebsk district;15 to 19 years of age;1880
        Vitebsk district;20 to 24 years of age;1450
        Vitebsk district;25 to 29 years of age;1272
        Vitebsk district;30 to 34 years of age;1802
        Vitebsk district;35 to 39 years of age;2533
        Vitebsk district;40 to 44 years of age;2545
        Vitebsk district;45 to 49 years of age;2332
        Vitebsk district;50 to 54 years of age;2379
        Vitebsk district;55 to 59 years of age;2346
        Vitebsk district;60 to 64 years of age;2692
        Vitebsk district;65 to 69 years of age;2889
        Vitebsk district;70 to 74 years of age;2027
        Vitebsk district;75 to 79 years of age;1207
        Vitebsk district;80 and over;1505
        Glubokoye district;0 to 4 years of age;1314
        Glubokoye district;By all age;32870
        Glubokoye district;5 to 9 years of age;1790
        Glubokoye district;10 to 14 years of age;1926
        Glubokoye district;15 to 19 years of age;1273
        Glubokoye district;20 to 24 years of age;1497
        Glubokoye district;25 to 29 years of age;1305
        Glubokoye district;30 to 34 years of age;1675
        Glubokoye district;35 to 39 years of age;2263
        Glubokoye district;40 to 44 years of age;2416
        Glubokoye district;45 to 49 years of age;2445
        Glubokoye district;50 to 54 years of age;2699
        Glubokoye district;55 to 59 years of age;2633
        Glubokoye district;60 to 64 years of age;2629
        Glubokoye district;65 to 69 years of age;2435
        Glubokoye district;70 to 74 years of age;1786
        Glubokoye district;75 to 79 years of age;1278
        Glubokoye district;80 and over;1506
        Gorodok district;0 to 4 years of age;634
        Gorodok district;By all age;19954
        Gorodok district;5 to 9 years of age;858
        Gorodok district;10 to 14 years of age;1055
        Gorodok district;15 to 19 years of age;1211
        Gorodok district;20 to 24 years of age;942
        Gorodok district;25 to 29 years of age;752
        Gorodok district;30 to 34 years of age;878
        Gorodok district;35 to 39 years of age;1181
        Gorodok district;40 to 44 years of age;1356
        Gorodok district;45 to 49 years of age;1320
        Gorodok district;50 to 54 years of age;1502
        Gorodok district;55 to 59 years of age;1507
        Gorodok district;60 to 64 years of age;1879
        Gorodok district;65 to 69 years of age;1897
        Gorodok district;70 to 74 years of age;1305
        Gorodok district;75 to 79 years of age;792
        Gorodok district;80 and over;885
        Dokshitsy district;0 to 4 years of age;822
        Dokshitsy district;By all age;20041
        Dokshitsy district;5 to 9 years of age;1043
        Dokshitsy district;10 to 14 years of age;1180
        Dokshitsy district;15 to 19 years of age;572
        Dokshitsy district;20 to 24 years of age;963
        Dokshitsy district;25 to 29 years of age;894
        Dokshitsy district;30 to 34 years of age;930
        Dokshitsy district;35 to 39 years of age;1275
        Dokshitsy district;40 to 44 years of age;1290
        Dokshitsy district;45 to 49 years of age;1361
        Dokshitsy district;50 to 54 years of age;1611
        Dokshitsy district;55 to 59 years of age;1637
        Dokshitsy district;60 to 64 years of age;1870
        Dokshitsy district;65 to 69 years of age;1720
        Dokshitsy district;70 to 74 years of age;1185
