id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,geometry,settlement_key
node/243031687,Падсосенка,Подсосенка,Падсосенка,,Padsosenka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3662573 54.3262234),Подсосенка
node/243031715,Альшанікі,Ольшаники,Альшанікі,,Al'shaniki,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3396139 54.3341064),Ольшаники
node/243027539,Вялікі Лес,Великий Лес,Вялікі Лес,,Vialiki Les,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2463911 54.3062759),Великий Лес
node/3488903460,Бобр,Бобр,Бобр,Bobr,Bobr,village,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.263447 54.319912),Бобр
node/242979065,Бобр,Бобр,Бобр,Bobr,Bobr,town,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2744782 54.3416872),Бобр
node/243031872,Пліса,Плиса,Пліса,Plisa,Plisa,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3213656 54.367537),Плиса
node/243031690,Дворышча,Дворище,Дворышча,,Dvoryshcha,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.315466 54.383202),Дворище
node/243031875,Стары Бобр,Старый Бобр,Стары Бобр,,Stary Bobr,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.3063188 54.3792562),Старый Бобр
node/243031879,Замкі,Замки,Замкі,,Zamki,village,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.2897196 54.3831408),Замки
node/243027393,Худаўцы,Худовцы,Худаўцы,,Khudautsy,village,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.175709 54.381012),Худовцы
node/243027548,Шэйка,Шейка,Шэйка,,Sheika,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.19402 54.36172),Шейка
node/243027523,Лебедзева,Лебедево,Лебедзева,Lebiedzieva,Lebiedzieva,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.16553 54.34713),Лебедево
node/243027565,Зароўе,Заровье,Зароўе,Zaroŭie,Zaroŭie,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.20424 54.33906),Заровье
node/243027556,Новая Крупка,Новая Крупка,Новая Крупка,Novaja Krupka,Novaja Krupka,hamlet,Belarus,BY004,Minsk,BY004007,Krupki,POINT (29.128761 54.330719),Новая Крупка
