X,Y,fid,id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,settlement_key
5672246.30207351,3644048.64006106,20892,node/243046530,Калінка,Калинка,Калінка,,Kalinka,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Калинка
5674212.73648871,3643005.2397829,20893,node/3207143932,Старое Прыбужжа,Прибужье Старое,Старое Прыбужжа,,Staroe Prybuzhzha,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Прибужье Старое
5672714.80797611,3646762.69467645,20894,node/243046508,Міхееўка,Михеевка,Міхееўка,,Mikheeuka,village,Belarus,BY006,Mogilev,BY006006,Dribin,Михеевка
5681243.8189555,3645083.53001856,20897,node/243044663,Лядзешня,Ледешня,Лядзешня,,Liadzeshnia,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Ледешня
5685577.58011303,3650454.25015692,20903,node/243044697,Еськаўка,Еськовка,Еськаўка,,Es'kauka,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Еськовка
5683603.42844347,3648659.13158647,20904,node/243044690,Пічаўка,Пичевка,Пічаўка,,Pichauka,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Пичевка
5683908.23553304,3656178.80828174,20907,node/243044696,Пнеўшчына,Пневщина,Пнеўшчына,,Pneushchyna,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Пневщина
5681131.82555792,3655131.14842347,20908,node/243044691,Ленполле,Ленполье,Ленполле,,Lenpolle,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Ленполье
5677087.21700603,3655140.21088402,20911,node/243044694,Мядзведзева,Медведево,Мядзведзева,,Miadzvedzeva,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Медведево
5677696.60591477,3655659.18230819,20912,node/243044693,Мядзведаўка,Медведовка,Мядзведаўка,,Miadzvedauka,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Медведовка
5678783.96108787,3658520.99745469,20913,node/243044695,Ходаравічы,Ходоровичи,Ходаравічы,,Khodaravichy,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Ходоровичи
5676289.3455269,3658496.16965791,20914,node/243044641,Пуплы,Пуплы,Пуплы,,Puply,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Пуплы
5676333.01841149,3657112.35087984,20915,node/243044654,Маставы,Мостовой,Маставы,,Mastavy,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Мостовой
5676040.44441053,3659944.76429318,20916,node/243044642,Завідаўка,Завидовка,Завідаўка,,Zavidauka,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Завидовка
5674221.20371253,3661253.77255438,20917,node/243044651,Паляшчыцы,Полящицы,Паляшчыцы,,Paliashchytsy,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Полящицы
5675436.7148471,3663125.32262184,20918,node/243044652,Лебедзева,Лебедево,Лебедзева,,Lebedzeva,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Лебедево
5679832.62791487,3661877.75030851,20919,node/243044648,Курганне,Курганье,Курганне,,Kurganne,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Курганье
5678301.34807315,3662446.73281103,20920,node/243044644,Нікадзімава,Никодимово,Нікадзімава,,Nikadzimava,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Никодимово
5678820.42168468,3663871.13712677,20921,node/243044647,Запруддзе,Запрудье,Запруддзе,,Zapruddze,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Запрудье
5679131.91596499,3665648.30035341,20922,node/243044650,Слабада,Слобода,Слабада,Slabada,Slabada,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Слобода
5679896.71814199,3663790.14468573,20923,node/243044653,Горы,Горы,Горы,,Gory,village,Belarus,BY006,Mogilev,BY006008,Gorki,Горы
5681076.88122322,3657222.67174121,20924,node/243044675,Студзянец,Студенец,Студзянец,,Studzianets,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Студенец
5681879.97233422,3656250.71525016,20925,node/243044692,Садок,Садок,Садок,,Sadok,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Садок
5683906.99299865,3658612.50019175,20926,node/243044640,Чурылава,Чурилово,Чурылава,,Churylava,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Чурилово
5684526.73788843,3662522.12677384,20927,node/243045608,Быстрая,Быстрая,Быстрая,,Bystraia,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Быстрая
5684724.87968198,3664729.94667298,20928,node/243045606,Валынцава,Волынцево,Валынцава,,Valyntsava,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Волынцево
5683504.33708213,3667331.85529048,20929,node/243045601,Высоцкія,Высоцкие,Высоцкія,,Vysotskiia,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Высоцкие
5690117.28600004,3661555.14304909,20930,node/243045605,Рубанаўка,Рубановка,Рубанаўка,,Rubanauka,hamlet,Belarus,BY006,Mogilev,BY006018,Mstislav,Рубановка
5696131.75559847,3655126.9804195,20932,node/243045612,Бель,Бель,Бель,,Bel',hamlet,Belarus,BY006,Mogilev,BY006018,Mstislav,Бель
5693141.98572986,3654221.29989978,20933,node/243045616,Вышова,Вышово,Вышова,,Vyshova,hamlet,Belarus,BY006,Mogilev,BY006008,Gorki,Вышово
5695385.97361161,3651228.51437943,20942,node/243045707,Курманава,Курманово,Курманава,,Kurmanava,village,Belarus,BY006,Mogilev,BY006018,Mstislav,Курманово
