,facility_title,link,settlement,facility_type,facility_type_eng,address,website,latitude,longitude
25,Ахремовская амбулатория врача общей практики,https://healthcare.by/instinfo.php?orgnum=15097,Ахремовцы,Амбулатория,Outpatient Clinic,"ул. Школьная, 76, 211972, д. Ахремовцы, Браславский р-н, Витебская обл.",,55.575042,27.117093
26,Б. Негновичский ФАП,https://healthcare.by/instinfo.php?orgnum=16887,Большие Негновичи,ФАП,FAP,"ул. Центральная, д. Большие Негновичи, Борисовский р-н, Минская обл.",,54.228422,28.753743
27,Б. Осовский ФАП,https://healthcare.by/instinfo.php?orgnum=15324,Большое Осово,ФАП,FAP,"д. Большое Осово, Крупский р-н, Минская обл.",,54.46186,28.786298
28,Бабировский ФАП,https://healthcare.by/instinfo.php?orgnum=16060,Бабирово,ФАП,FAP,"Кирова, 52, 213879, д. Бабирово, Глусский р-н, Могилевская обл.",,53.037153,28.552664
29,Бабичский ФАП,https://healthcare.by/instinfo.php?orgnum=28087,Бабичи,ФАП,FAP,"ул. Садовая, 1, д. Бабичи, Чечерский р-н, Гомельская обл.",,52.878986,31.178484
30,Бабичский ФАП,https://healthcare.by/instinfo.php?orgnum=16089,Бабичи,ФАП,FAP,"ул. Мастрюкова, 17, 247534, д. Бабичи, Речицкий р-н, Гомельская обл.",,52.261645,30.00356
31,Бабуничский ФАП,https://healthcare.by/instinfo.php?orgnum=16035,Бабуничи,ФАП,FAP,"ул. Шурина, 3, 247932, д. Бабуничи, Петриковский р-н, Гомельская обл.",,52.277098,28.467153
32,Баевский ФАП,https://healthcare.by/instinfo.php?orgnum=15221,Баево,ФАП,FAP,"211052, д. Баево, Дубровенский р-н, Витебская обл.",,54.484749,31.107814
33,Бакуновский-1 ФАП,https://healthcare.by/instinfo.php?orgnum=17389,Бакуны-1,ФАП,FAP,"ул. Центральная, 71, 225142, д. Бакуны-1, Пружанский р-н, Брестская обл.",,52.544062,24.43458
34,Балашевичский ФАП,https://healthcare.by/instinfo.php?orgnum=16032,Балашевичи,ФАП,FAP,"Ленина, 1, 213865, д. Балашевичи, Глусский р-н, Могилевская обл.",,52.900779,28.792227
35,Балашовский ФАП,https://healthcare.by/instinfo.php?orgnum=17227,Балаши,ФАП,FAP,"ул. Малькевича, 16, д. Балаши, Вилейский р-н, Минская обл.",,54.622502,27.085122
36,Барановичский ФАП,https://healthcare.by/instinfo.php?orgnum=16720,Барановичи,ФАП,FAP,"231435, д. Барановичи, Кореличский р-н, Гродненская обл.",,53.511237,25.986186
37,Барановский ФАП,https://healthcare.by/instinfo.php?orgnum=23533,Бараново,ФАП,FAP,"д. Бараново, Гродненский р-н, Гродненская обл.",,53.518245,23.91689
38,Барбаровский ФАП,https://healthcare.by/instinfo.php?orgnum=16320,Барбаров,ФАП,FAP,"ул. Молодежная, 10-1, 247753, д. Барбаров, Мозырский р-н, Гомельская обл.",,51.904643,29.477066
39,Барсеевский ФАП,https://healthcare.by/instinfo.php?orgnum=15238,Барсеево,ФАП,FAP,"Горбовский с/с, 211204, д. Барсеево, Лиозненский р-н, Витебская обл.",,54.86256,30.706321
40,Барсуковский ФАП,https://healthcare.by/instinfo.php?orgnum=15204,Барсуки,ФАП,FAP,"ул. Молодежная, 8, 211729, д. Барсуки, Докшицкий р-н, Витебская обл.",,54.876004,27.617706
41,Барсуковский ФАП,https://healthcare.by/instinfo.php?orgnum=7244,Барсуки,ФАП,FAP,"2136506, д. Барсуки, Климовичский р-н, Могилевская обл.",,53.706929,31.906865
42,Барсуковский ФАП,https://healthcare.by/instinfo.php?orgnum=16370,Барсуки,ФАП,FAP,"ул. Центральная, 27а, д. Барсуки, Кировский р-н, Могилевская обл.",,53.240986,29.725235
43,Барсуковский ФАП,https://healthcare.by/instinfo.php?orgnum=14874,Барсуки,ФАП,FAP,"д. Барсуки, Смолевичский р-н, Минская обл.",,53.995927,28.186924
44,Барчицкий ФАП,https://healthcare.by/instinfo.php?orgnum=18476,Барчицы,ФАП,FAP,"ул. Садовая, 2а, д. Барчицы, Кировский р-н, Могилевская обл.",,53.254257,29.670159
45,Барышевский ФАП,https://healthcare.by/instinfo.php?orgnum=16666,Барышевка,ФАП,FAP,"ул. Школьная, 57, кв. 4, 213202, д. Барышевка, Чаусский р-н, Могилевская обл.",,53.873319,31.087925
46,Бастеновичский ФАП,https://healthcare.by/instinfo.php?orgnum=16555,Бастеновичи,ФАП,FAP,"213484, д. Бастеновичи, Мстиславский р-н, Могилевская обл.",,54.032877,31.385824
47,Бастунский ФАП,https://healthcare.by/instinfo.php?orgnum=16534,Бастуны,ФАП,FAP,"231371, д. Бастуны, Вороновский р-н, Гродненская обл.",,54.077058,25.288285
